,user,content
0,ezbuz00681,"性○強すぎて彼氏が長続きしないの😟
だから沢山エッ○できる
セ○レほしいな😘

#裏アカ女子 
#裏アカJK"
1,PalmiraWoolley,"ツイッター始めてフォロワー欲しいから
知り合いの見せあいオナニー晒します！

許可いただきました。超スタイル良くて美人です笑　　

紹介して欲しい人はフォロリツください！！

裏アカjk 見せ垢　晒し
裏アカJD 裏アカJC　ハメ… https://t.co/UO0dTCYiCg"
2,mkd_x1pb,"7月くらいに名古屋でできる人居ないかなー！
受験生だからあんまりできる日無いかもしれないけど😢"
3,motasimescalle,"電マヤヴァイ！！！

好きな事↓
💞エろ垢jk 動画
💞裏アカ 女子
😎jc動画
💞見せ合い カカオ
💞おな二ー動画
💞せフレ募集中
👺見せ合い女子

https://t.co/enxA6ITQka"
4,fh_c1t2,"素人です❗
オフ　ぱこ
相手募集中😆

💓条件💓
エチエチ代負担希望
動画とか無理に強要しない

気になった方はリツフォ願います🙏
確認したらDMします❗ https://t.co/B1QOXQ4L5b"
5,tadadeyaritaino,"てまんされたい

#裏アカ女子 #裏アカjk
#裏アカ男子と繋がりたい"
6,JillBro75831327,"変態女子ですよろしくね(*‘ω‘ *)☀
再生スタンプ邪魔な人リツイート❤

おまnこ丸見えオナニーすぐみたい人はこっち🥺💕
⇸https://t.co/qx3qfWo56D

#裏アカ男子と繋がりたい
#裏アカ女子
オフパコ募集… https://t.co/AMHmOwVjX7"
7,__Yuka_07,"そのうち、見せ合いとかオフパコとかしたり…？
#裏アカ女子　#裏アカJK"
8,Reina_2108,"日曜日名駅でお洋服買ってくれるパパさん募集してます🎶🎀
お気軽にお声がけください💖

#p活名古屋
#P活女子"
9,xlirt_,"来月からJKです。バイトしたい！髪染めたい！ネイルしたい！
ホ別3。NSNN、ES×FD、ADHD
バタースコッチコーヒージェリーフラペチーノおいち〜☆〜（ゝ。∂）
#福島原発を許さない
#ｽﾞｯ友
#MeToo … https://t.co/jws7iJMoYD"
10,totomar25906603,高畑駅付近で会える人居ますか？
11,tont4n,JKとオフパコしたい
12,7xorzqcgcpz5i,"むぅー

ひま♑

☣モンスト
✾痴女
✂裏垢jk
✑オフパコ垢
⭐プレゼント企画
↙河田陽菜"
13,WilliamsuKarena,"これは隠せてるのかな？笑

スタ無しはこっち💓
⇉https://t.co/xuQryZaNRG

エロ垢 おっぱい
#裏アカJK
#裏アカ男子
エロ動画 オフパコ
潮吹き
 https://t.co/QOtqODyOq5"
14,Raika_0523,"パパさん募集です！
愛知周辺でお願いします。
DM来てくださいっ！
#パパ活
#愛知県
#パパ活初心者 
#パパ活募集 https://t.co/FOddri3vww"
15,ohrei19_mr4,"成人男性だけどJC、JKと知り合いたいという方、知り合える方法を伝授します。気軽に連絡、ご相談ください。

＃円光　＃ロリコン　＃少女　＃援助交際"
16,RemonaAdamthwa1,"新しいの撮ったけどTwitter厳しいから
エロ垢の方見に来てーーーん❣

ココ→https://t.co/8gvZKxeytI

オフパコ エロ垢 オナニー
裏アカ女子 裏垢 セフレ 
jk エロ動画
#裏アカ男子と繋がりたい… https://t.co/onxSo3mM28"
17,CorvalanDebroah,"いいね！でスタンプ消えるらしー

ここにも公開中📹💓
【https://t.co/PfxEAgdFvt】

オフパコ エロ垢 オナニー
裏アカ女子 裏垢 セフレ 
jk エロ動画
#裏アカ男子と繋がりたい
パンチラ #裏アカjk
https://t.co/fkWkirs3Ev"
18,PamelaB68246978,"新しく買ったバイブで攻めちゃいました♥♥♥

穴見えオナニーはここ(´ω`)
⇸https://t.co/3yA3uXXqfc

#裏アカＪＫ
#裏アカ男子と繋がりたい
エロ垢
動画シェア
オフパコ募集
オナニー
見せ合い https://t.co/mEencz4k0f"
19,mnyvjx6igjvs3,"★

こ～

動画欲しい人

‼‼

♙JK
☕クンニ
♿本田翼
☹❤パンティー
♛セフレ募集"
20,v57p2974ewmgy,"け～

ぴえん

☩モンスト
JK
食い込み
おなにー
おふぱこ希望"
21,Lzxx1mNYGoMDfd3,"オナ動画1500円（Google Play）
生sex1万5000  （半分現金）ゴムつけるかつけないかで値段変わります。
⚠️オナ動画をご購入される場合は先払いしてまらいます🙇‍♀️  
#拡散希望 #iTunesカード  #リツイート"
22,sen__ra_,JKです///オフパコの相手探してます///オフパコしてくれる優しいFFさんお声かけください///
23,sabakufugitive,"暇してるので私と遊んでくれる人募集しています
・JK
・VC出来る
・オフパコ有
上記の条件を満たせる方DM待ってます"
24,iz_no_uraaka,"なんでだろうね
この時間って1番好き
ホントムラムラしちゃう
フォローやRTしてくれる人には色々見せちゃおーかな
いや、電話する？それともホテル行く？

#裏あかjk 
#裏あか女子 
#裏アカJK 
#裏アカ女子 https://t.co/cX6Wj0UbUn"
25,tz_niQ,16歳の高校2年生です💓💕オフパコ👉👌に興味あって裏垢作ってみました😌💕✨処女です💕✨❣️Hなことに詳しくなりたい❣️❣️キスから💓全部教えてくれる✨優しいお兄さんいませんか😭❓エッチな男性🙋‍♀️💕がイイな😘💕16～30代で経験… https://t.co/Asc1SbgXWv
26,blue____ma,お金欲しいからjkのうちにパパ活しようかな
27,_nizigen26,"求 ジュンくんポスター

出 ホ別ゴムあり JK 痛いの× 優しい方のみ

興味ある方DMお願いします( *´꒳`*)♡
冷やかしNG

#あつ森
#あつ森住人交換 
#あつ森ポスター"
28,sen_Gsb_sgita,16歳の高校2年生です💓💕オフパコ👉👌に興味あって裏垢作ってみました😌💕✨処女です💕✨❣️Hなことに詳しくなりたい❣️❣️キスから💓全部教えてくれる✨優しいお兄さんいませんか😭❓エッチな男性🙋‍♀️💕がイイな😘💕16～20代のイケ… https://t.co/FdyKWZMLqJ
0,yurikapakapaka,"#裏アカ女子 #裏アカJK
エッチな動画売りまする。、
触ってたらエッチな汁中から出てきちゃったオナニー動画
1500円でpaypayかアマギフで😍
買ってくれた人の中で1名
ファボリツしてくれた人の中から1名
抽選で、Gかっぷの… https://t.co/gJ5rq5mrOR"
1,nana11101_,"画像販売始めます💕

PayPay1枚1000-1500でおっぱいor生足画像売ります！申し訳ございませんが先払いのみ受け付けてます💕

#お貢ぎ #画像販売 #写真販売 #ATM奴隷 #貢ぎ奴隷 #JK https://t.co/c4Ws3gymqy"
2,akVAaJY7qrr7S7s,"宮崎であした会ってくださる女性の方探してます。色々教えてください。お願いします。
#宮崎 #M男募集 #S女 #裏垢男子 #裏垢男子と繋がりたい #裏垢女子 #裏アカ女子 #裏アカ女子と繋がりたい #調教 #奴隷 #いじめ"
3,fi5tk3,"学校再開したのでツイッターも再開！

運動音痴に見られがちですがバスケ部でバリバリ活躍してます🐱

エネルギー常に有り余ってる💡

専属でおかずにしてくださる人いますかー？？

フォローしてくれてDMで専属表明してくださった人に制… https://t.co/53wSfjPNPp"
4,kietai17,@6677Jeep 大淀中の近くですん
5,xp67QIhQPrnHG4c,@z1M13rGRR1OqIgk 是非
6,manatsu02354744,宮崎のJKいるー？
7,c_falp,今から会えるパパさんいない？
8,love_HH_melon,ﾋﾏﾋﾏﾋﾏ
9,pyapu992,"@Nogi1040 乃木坂すきなんですか？
一緒に話したいです！！"
10,MwgzO,クンニされたい。。
11,mzUmgei4ATV6aMl,"他にも色々写真あるけど 興味ある人DMしてね！
RT＆フォローしてくれた人から 1名だけ無料で写真3枚送るよ😳
#宮崎市 #裏垢女子 https://t.co/cfjBHZEDsI"
